AuthorName,AuthorID,LabID
Wenyuan Chen,1,1
Guangyong Li,2,2
Mingwei Li,3,3
Wenxue Wang,4,4
Peng Li,5,3
Xiujuan Xue,6,5
Xingang Zhao,7,4
Lianqing Liu,8,4
Dmitriy Rivkin,9,6
Francois Hogan,10,6
Amal Feriani,11,6
Abhisek Konar,12,6
Adam Sigal,13,6
Xue Liu,14,6
Gregory Dudek,15,6
Xingchi Chen,16,7
Xiaoyang Lu,17,8
Qing Li,18,7
Dazhou Li,19,9
Fa Zhu,20,10
Dongyuan Wu,21,11
Liming Nie,22,12
Rao Asad Mumtaz,23,13
Kadambri Agarwal,24,14
Alexander Tobias Neumann,25,15
Yue Yin,26,15
Sulayman Sowe,27,15
Stefan Decker,28,15
Matthias Jarke,29,15
Xinyu Zhang,30,16
Huiyu Xu,31,16
Zhongjie Ba,32,16
Zhibo Wang,33,16
Yuan Hong,34,17
Jian Liu,35,16
Zhan Qin,36,16
Kui Ren,37,16
Hao Zhou,38,18
Chengming Hu,39,18
Ye Yuan,40,18
Yufei Cui,41,18
Yili Jin,42,18
Can Chen,43,18
Haolun Wu,44,18
Dun Yuan,45,18
Li Jiang,46,18
Di Wu,47,19
Xue Liu,14,18
Charlie Zhang,48,20
Xianbin Wang,49,21
Jiangchuan Liu,50,22
Cheng Zhang,51,23
Minjun Yu,52,23
Li Yu,53,23
Pengyu Cong,54,23
Yan Yuchao,55,23
Bao Jie,56,23
Jiang Jian,57,23
Wang Xiaozheng,58,24
Ye Xiaolong,59,23
Tang Tao,60,24
Xiao Liang,61,24
Jiaying Lu,62,25
Bo Pan,63,25
Jieyi Chen,64,25
Yingchaojie Feng,65,25
Jingyuan Hu,66,25
Yuchen Peng,67,25
Wei Chen,68,25
Feng Huang,69,26
Xia Sun,70,26
Aizhu Mei,71,26
Yilin Wang,72,26
Huimin Ding,73,27
Tingshao Zhu,74,26
Zhengxing Lan,75,28
Lingshan Liu,76,28
Bo Fan,77,29
Yisheng Lv,78,30
Yilong Ren,79,31
Zhiyong Cui,80,31
Minsuk Kahng,81,32
Ian Tenney,82,32
Mahima Pushkarna,83,32
Michael Xieyang Liu,84,32
James Wexler,85,32
Emily Reif,86,32
Krystal Kallarackal,87,32
Minsuk Chang,88,32
Michael Terry,89,32
Lucas Dixon,90,32
Gavin Black,91,33
Varghese Vaidyan,92,33
Gurcan Comert,93,34
Qiang Liu,94,35
Junsheng Mu,95,36
Da Chen,96,35
Ronghui Zhang,97,36
Yijian Liu,98,35
Tao Hong,99,37
Yuzhe Zhang,100,38
Huan Liu,101,38
Yang Xiao,102,39
Mohammed Amoon,103,40
Dalin Zhang,104,41
Di Wang,105,42
Shusen Yang,106,38
Chai Quek,107,42
Bin Xiao,108,43
Burak Kantarci,109,43
Jiawen Kang,110,44
Dusit Niyato,111,45
Mohsen Guizani,112,46
Hongwei Cui,113,25
Yuyang Du,114,25
Qun Yang,115,25
Yulin Shao,116,25
Soung Chang Liew,117,25
Shang Liu,118,47
Wenji Fang,119,47
Yao Lu,120,47
Jing Wang,121,47
Qijun Zhang,122,47
Hongce Zhang,123,47
Zhiyao Xie,124,47
Wentian Cai,125,48
Yijiang Li,126,49
Yandan Chen,127,48
Jing Lin,128,48
Zihao Huang,129,48
Ping Gao,130,50
Thippa Reddy Gadekallu,131,51
Wei Wang,132,52
Ying Gao,133,48
Ya Li,134,53
Xuecong Zheng,135,53
Jiaping Li,136,54
Qingyun Dai,137,53
Chang-Dong Wang,138,55
Min Chen,139,56
Zhi Qiang Wang,140,57
Haopeng Wang,141,57
Abdulmotaleb El Saddik,142,57
Dipayan Saha,143,58
Shams Tarek,144,58
Katayoon Yahyaei,145,58
Sujan Kumar Saha,146,58
Jingbo Zhou,147,58
Mark Tehranipoor,148,58
Farimah Farahmandi,149,58
Yiheng Zhang,150,59
Yunkang Cao,151,59
Xiaohao Xu,152,60
Weiming Shen,153,59
Jaeyoung Kim,154,61
Sihyeon Lee,155,61
Hyeon Jeon,156,61
Keon-Joo Lee,157,62
Hee-Joon Bae,158,63
Bohyoung Kim,159,64
Jinwook Seo,160,61
Micaela Lucia Bangerter,161,25
Giuseppe Fenza,162,25
Domenico Furno,163,25
Mariacristina Gallo,164,25
Vincenzo Loia,165,25
Claudio Stanzione,166,25
Ilsun You,167,25
Huichen Will Wang,168,65
Jane Hoffswell,169,66
Sao Myat Thazin Thane,170,67
Victor S. Bursztyn,171,66
Cindy Xiong Bearfield,172,68
Ziao Liu,173,69
Xiao Xie,174,69
Moqi He,175,70
Wenshuo Zhao,176,70
Yihong Wu,177,70
Liqi Cheng,178,70
Hui Zhang,179,69
Yingcai Wu,180,70
Xin Yin,181,71
Chao Ni,182,71
Shaohua Wang,183,72
Fanfan Lin,184,73
Xinze Li,185,74
Weihao Lei,186,75
Juan J. Rodriguez-Andina,187,76
Josep M. Guerrero,188,77
Changyun Wen,189,78
Xin Zhang,190,75
Hao Ma,191,75
Ruichen Zhang,192,42
Hongyang Du,193,42
Yinqiu Liu,194,42
Dusit Niyato,111,42
Jiawen Kang,110,79
Sumei Sun,195,80
Xuemin Shen,196,81
H. Vincent Poor,197,82
Ruichen Zhang,192,83
Hongyang Du,193,84
Yinqiu Liu,194,83
Dusit Niyato,111,83
Jiawen Kang,110,79
Zehui Xiong,198,85
Abbas Jamalipour,199,86
Dong In Kim,200,87
Xile Wei,201,88
Hengyi Wei,202,88
Meili Lu,203,89
Zhen Zhang,204,88
Siyuan Chang,205,88
Shunqi Zeng,206,90
Fei Wang,207,90
Minghui Chen,208,90
Chong Bian,209,91
Xue Han,210,91
Zhiyu Duan,211,92
Chao Deng,212,91
Shunkun Yang,213,92
Junlan Feng,214,91
Minrui Xu,215,25
Dusit Niyato,111,25
Jiawen Kang,110,25
Zehui Xiong,198,25
Shiwen Mao,216,25
Zhu Han,217,25
Dong In Kim,200,25
Khaled B. Letaief,218,25
Jiahui Hu,219,25
Dan Wang,220,25
Zhibo Wang,33,25
Xiaoyi Pang,221,25
Huiyu Xu,31,25
Ju Ren,222,25
Kui Ren,37,25
Anan Jin,223,93
Yuhang Ye,224,94
Brian Lee,225,93
Yuansong Qiao,226,93
Dazhen Deng,227,95
Chuhan Zhang,228,95
Huawei Zheng,229,95
Yuwen Pu,230,95
Shouling Ji,231,95
Yingcai Wu,180,95
Mengyao Wu,232,96
F. Richard Yu,233,96
Peter Xiaoping Liu,234,96
Ying He,235,97
Bowen Jin,236,98
Gang Liu,237,99
Chi Han,238,98
Meng Jiang,239,99
Heng Ji,240,98
Jiawei Han,241,98
Sifan Long,242,100
Fengxiao Tang,243,100
Yangfan Li,244,100
Tiao Tan,245,100
Zhengjie Jin,246,100
Ming Zhao,247,100
Nei Kato,248,101
Kiroong Choe,249,61
Chaerin Lee,250,61
Soohyun Lee,251,61
Jiwon Song,252,61
Aeri Cho,253,61
Nam Wook Kim,254,102
Jinwook Seo,160,61
Feibo Jiang,255,25
Li Dong,256,25
Yubo Peng,257,25
Kezhi Wang,258,25
Kun Yang,259,25
Cunhua Pan,260,25
Xiaohu You,261,25
Seungjae Moon,262,103
Jung-Hoon Kim,263,104
Junsoo Kim,264,103
Seongmin Hong,265,103
Junseo Cha,266,103
Minsu Kim,267,104
Sukbin Lim,268,103
Gyubin Choi,269,103
Dongjin Seo,270,103
Jongho Kim,271,103
Hunjong Lee,272,103
Hyunjun Park,273,103
Ryeowook Ko,274,103
Soongyu Choi,275,103
Jongse Park,276,104
Jinwon Lee,277,103
Joo-Young Kim,278,103
Oscar G. Lira,279,25
Oscar M. Caicedo,280,25
Nelson L. S. da Fonseca,281,25
Li Zhou,282,105
Xinfeng Deng,283,105
Zhe Wang,284,105
Xiaoying Zhang,285,105
Yanjie Dong,286,106
Xiping Hu,287,106
Zhaolong Ning,288,107
Jibo Wei,289,105
Haoyi Xiong,290,108
Jiang Bian,291,108
Yuchen Li,292,108
Xuhong Li,293,108
Mengnan Du,294,109
Shuaiqiang Wang,295,108
Dawei Yin,296,108
Sumi Helal,297,110
Yudong Huang,298,111
Hongyang Du,193,42
Xinyuan Zhang,299,111
Dusit Niyato,111,42
Jiawen Kang,110,79
Zehui Xiong,198,112
Shuo Wang,300,111
Tao Huang,301,111
Zhehui Wang,302,113
Tao Luo,303,113
Cheng Liu,304,114
Weichen Liu,305,45
Rick Siow Mong Goh,306,113
Weng-Fai Wong,307,115
Raghvendra Kumar,308,116
Bhargav Goddu,309,116
Sriparna Saha,310,116
Adam Jatowt,311,117
Mengyi Fu,312,118
Pan Wang,313,118
Minyao Liu,314,118
Ze Zhang,315,118
Xiaokang Zhou,316,119
Soveatin Kuntur,317,120
Anna Wróblewska,318,120
Marcin Paprzycki,319,121
Maria Ganzha,320,120
Taslim Mahbub,321,122
Dana Dghaym,322,122
Aadhith Shankarnarayanan,323,122
Taufiq Syed,324,122
Salsabeel Shapsough,325,122
Imran Zualkernan,326,122
Yi Rong,327,123
Yingchi Mao,328,123
Huajun Cui,329,124
Xiaoming He,330,125
Mingkai Chen,331,126
Kehai Qiu,332,127
Stefanos Bakirtzis,333,127
Ian Wassell,334,127
Hui Song,335,128
Jie Zhang,336,128
Kezhi Wang,258,129
Alaa Selim,337,130
Junbo Zhao,338,130
Bo Yang,339,131
Wenhao Li,340,25
Jingtong Zhao,341,25
Liujinxiang Zhu,342,25
Li Zhang,343,25
Han Wang,344,25
Ali Maatouk,345,25
Nicola Piovesan,346,25
Fadhel Ayed,347,25
Antonio De Domenico,348,25
Merouane Debbah,349,25
Yuxuan Chen,350,132
Rongpeng Li,351,132
Zhifeng Zhao,352,132
Chenghui Peng,353,133
Jianjun Wu,354,133
Ekram Hossain,355,134
Honggang Zhang,356,132
Siddhant Bikram Shah,357,135
Surendrabikram Thapa,358,136
Ashish Acharya,359,137
Kritesh Rauniyar,360,135
Sweta Poudel,361,138
Sandesh Jain,362,136
Anum Masood,363,139
Usman Naseem,364,140
Feibo Jiang,255,25
Yubo Peng,257,25
Li Dong,256,25
Kezhi Wang,258,25
Kun Yang,259,25
Cunhua Pan,260,25
Dusit Niyato,111,25
Octavia A. Dobre,365,25
Harsh Patel,366,141
Dominique Boucher,367,142
Emad Fallahzadeh,368,141
Ahmed E. Hassan,369,141
Bram Adams,370,141
Sam Yu-Te Lee,371,143
Kwan-Liu Ma,372,143
Youfu Yan,373,144
Yu Hou,374,145
Yongkang Xiao,375,145
Rui Zhang,376,145
Qianwen Wang,377,144
Tianyu Tu,378,146
Zhili He,379,146
Zhigao Zheng,380,146
Zimu Zheng,381,147
Jiawei Jiang,382,146
Yili Gong,383,146
Chuang Hu,384,146
Dazhao Cheng,385,146
Sakina Fatima,386,148
Hadi Hemmati,387,149
Lionel Briand,388,148
Yaru Zhao,389,150
Yi Yue,390,150
Shoulu Hou,391,150
Bo Cheng,392,150
Yakun Huang,393,150
Hyeongwon Jang,394,151
June Yong Yang,395,152
Jaeryong Hwang,396,153
Eunho Yang,397,152
Chunggi Lee,398,154
