KeywordID,Keyword,KeywordType
1,Hand exoskeleton,Author Keywords
2,motion intention recognition,Author Keywords
3,large language model (LLM),Author Keywords
4,ChatGPT,Author Keywords
5,incremental learning,Author Keywords
6,Exoskeletons,IEEE Keywords
7,Task analysis,IEEE Keywords
8,Thumb,IEEE Keywords
9,Robots,IEEE Keywords
10,Automation,IEEE Keywords
11,Grasping,IEEE Keywords
12,Control systems,IEEE Keywords
13,Autonomous LLM Agents,Author Keywords
14,Smart Home,Author Keywords
15,IoT,Author Keywords
16,Generative AI,Author Keywords
17,Embodied AI,Author Keywords
18,Personalized AI,Author Keywords
19,AI Assistant,Author Keywords
20,Smart homes,IEEE Keywords
21,Codes,IEEE Keywords
22,Performance evaluation,IEEE Keywords
23,Internet of Things,IEEE Keywords
24,Benchmark testing,IEEE Keywords
25,Smart devices,IEEE Keywords
26,Logic,IEEE Keywords
27,Process control,IEEE Keywords
28,Monitoring,IEEE Keywords
29,Manuals,IEEE Keywords
30,Connected electric vehicles,Author Keywords
31,deep deterministic policy gradient,Author Keywords
32,space-airground integrated vehicular networks (SAGVNs),Author Keywords
33,power dispatching,Author Keywords
34,Dispatching,IEEE Keywords
35,Vehicles,IEEE Keywords
36,Uncertainty,IEEE Keywords
37,Electric vehicle charging,IEEE Keywords
38,Vehicle dynamics,IEEE Keywords
39,Data models,IEEE Keywords
40,Power distribution,IEEE Keywords
41,Heuristic algorithms,IEEE Keywords
42,Costs,IEEE Keywords
43,Decision making,IEEE Keywords
44,Diagnosis,Author Keywords
45,Medical imaging,Author Keywords
46,Transformer,Author Keywords
47,Fuzzy selector,Author Keywords
48,LLM,Author Keywords
49,Transformers,IEEE Keywords
50,Image segmentation,IEEE Keywords
51,Medical diagnostic imaging,IEEE Keywords
52,Computer architecture,IEEE Keywords
53,Medical services,IEEE Keywords
54,Computational modeling,IEEE Keywords
55,Accuracy,IEEE Keywords
56,Training,IEEE Keywords
57,Convolution,IEEE Keywords
58,Context modeling,IEEE Keywords
59,Chatbots,Author Keywords
60,higher education,Author Keywords
61,moodle,Author Keywords
62,moodlebot,Author Keywords
59,Chatbots,IEEE Keywords
63,Education,IEEE Keywords
64,Computer science,IEEE Keywords
65,Databases,IEEE Keywords
66,Mentoring,IEEE Keywords
67,Information technology,IEEE Keywords
68,Information systems,IEEE Keywords
69,Adaptation models,IEEE Keywords
70,Vectors,IEEE Keywords
71,Large language model (LLM),Author Keywords
72,Tool-using LLM agent,Author Keywords
73,Privacy,Author Keywords
74,Homomorphic encryption,Author Keywords
75,$ t$ -Closeness,Author Keywords
73,Privacy,IEEE Keywords
76,Image color analysis,IEEE Keywords
77,Cryptography,IEEE Keywords
78,Data privacy,IEEE Keywords
79,Forgery,IEEE Keywords
80,Large language model,Author Keywords
81,telecommunications,Author Keywords
82,generation,Author Keywords
83,classification,Author Keywords
84,prediction,Author Keywords
85,optimization,Author Keywords
86,Telecommunications,IEEE Keywords
87,6G mobile communication,IEEE Keywords
88,Optimization,IEEE Keywords
89,Surveys,IEEE Keywords
90,Sensors,IEEE Keywords
91,Reinforcement learning,IEEE Keywords
92,Activation checkpointing,Author Keywords
93,Deepspeed,Author Keywords
94,large language model (LLM) training,Author Keywords
95,Megatron,Author Keywords
96,selective checkpointing,Author Keywords
97,1F1B(one forward pass followed by one backward pass),Author Keywords
98,Checkpointing,IEEE Keywords
99,Memory management,IEEE Keywords
100,Partitioning algorithms,IEEE Keywords
101,Parallel processing,IEEE Keywords
102,Large language models,IEEE Keywords
103,autonomous system,Author Keywords
104,agent,Author Keywords
105,visual analysis,Author Keywords
106,Visualization,IEEE Keywords
107,Autonomous systems,IEEE Keywords
108,Data visualization,IEEE Keywords
109,Complexity theory,IEEE Keywords
110,Collaboration,IEEE Keywords
102,Large language models,Author Keywords
111,life satisfaction,Author Keywords
112,machine learning,Author Keywords
113,natural language processing,Author Keywords
114,psychometrics,Author Keywords
115,Predictive models,IEEE Keywords
116,Psychology,IEEE Keywords
117,Analytical models,IEEE Keywords
118,Regression tree analysis,IEEE Keywords
119,Machine learning,IEEE Keywords
120,Correlation,IEEE Keywords
121,Feature extraction,IEEE Keywords
122,Natural language processing,IEEE Keywords
123,Autonomous vehicles,Author Keywords
124,large language models (LLMs),Author Keywords
125,mamba,Author Keywords
126,trajectory prediction,Author Keywords
127,Trajectory,IEEE Keywords
123,Autonomous vehicles,IEEE Keywords
128,Forecasting,IEEE Keywords
129,Encoding,IEEE Keywords
130,Cognition,IEEE Keywords
131,Visual analytics,Author Keywords
132,large language models,Author Keywords
133,model evaluation,Author Keywords
134,responsible AI,Author Keywords
135,machine learning interpretability,Author Keywords
136,Internet,IEEE Keywords
137,Pipelines,IEEE Keywords
138,Oral communication,IEEE Keywords
139,Numerical models,IEEE Keywords
140,Fuzzing,Author Keywords
119,Machine learning,Author Keywords
141,Large Language Models,Author Keywords
142,Python,Author Keywords
140,Fuzzing,IEEE Keywords
143,Testing,IEEE Keywords
142,Python,IEEE Keywords
144,Libraries,IEEE Keywords
145,Security,IEEE Keywords
146,Protocols,IEEE Keywords
147,Measurement,IEEE Keywords
148,reconfigurable intelligent surface,Author Keywords
149,large language model,Author Keywords
150,6G,Author Keywords
151,Internet of Vehicles,Author Keywords
152,Reconfigurable intelligent surfaces,IEEE Keywords
153,Wireless communication,IEEE Keywords
